2019-02-06 10:38:54,793 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@e45f292: startup date [Wed Feb 06 10:38:54 CET 2019]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2019-02-06 10:38:55,715 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Semester 6\DPI\Apache ActiveMQ\apache-activemq-5.15.8\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2019-02-06 10:38:56,509 | INFO  | PListStore:[D:\Semester 6\DPI\Apache ActiveMQ\apache-activemq-5.15.8\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2019-02-06 10:38:56,696 | INFO  | Apache ActiveMQ 5.15.8 (localhost, ID:LAPTOP-CPIH0AFD-3926-1549445936534-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2019-02-06 10:38:56,716 | INFO  | Listening for connections at: tcp://LAPTOP-CPIH0AFD:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-02-06 10:38:56,717 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2019-02-06 10:38:56,722 | INFO  | Listening for connections at: amqp://LAPTOP-CPIH0AFD:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-02-06 10:38:56,723 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2019-02-06 10:38:56,729 | INFO  | Listening for connections at: stomp://LAPTOP-CPIH0AFD:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-02-06 10:38:56,730 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2019-02-06 10:38:56,733 | INFO  | Listening for connections at: mqtt://LAPTOP-CPIH0AFD:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
